Clock frequency is approx. 2497.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	5549.7	4959.3	4487.0	3661.4	2887.1	2452.5	2149.9	1950.1	1624.5	1538.6	1373.2	1241.3	1139.6	1068.6	1033.6	972.8	988.7	1154.4	940.7	937.6	881.5	868.0	881.3	899.9	989.4	852.2	813.2	808.5	788.8	774.0	790.8	737.8	789.0	803.1	794.5	782.1	759.5	749.7	760.7	845.4	856.8	758.6	743.9	737.1	740.5	743.0	738.0	722.9	883.2	732.8	727.3	723.5	751.5	755.8	741.7	718.9	867.2	718.4	741.8	746.8	761.6	720.3	732.7	770.4	
16m	5723.7	5013.3	4430.2	3670.8	2925.4	2400.3	2110.1	1940.8	1787.0	1649.8	1404.2	1325.8	1220.3	1314.9	1241.5	1190.5	1190.5	1155.1	957.9	972.8	922.8	925.2	952.1	921.3	879.0	886.7	868.6	889.4	881.9	867.9	841.2	727.8	870.9	866.5	853.0	843.1	990.7	882.3	820.9	848.3	845.5	873.7	845.9	868.4	868.3	878.5	877.3	773.1	899.2	933.1	900.1	1002.9	949.5	939.6	959.6	906.8	940.5	970.6	958.6	981.1	1176.1	1146.7	1120.8	786.6	
8m	5738.5	4937.6	4866.1	4174.4	3293.5	2522.5	2410.6	2060.3	1990.8	1795.6	1700.4	1605.4	1445.6	1368.7	1365.1	1181.9	1212.9	1203.9	1178.6	1431.4	1427.0	1145.7	1208.7	1145.7	1218.3	1434.9	1170.1	1213.2	1259.4	1420.0	1479.3	964.1	1460.0	1358.0	1393.1	1299.2	1521.7	1683.6	1693.6	1813.5	1943.9	2171.9	1846.4	2051.4	2085.7	2181.3	2664.6	1366.2	1393.4	1718.6	2019.3	2357.0	2255.7	2460.7	2610.6	2394.3	1258.8	1330.1	2405.7	2466.1	2677.4	2771.4	2686.2	1088.2	
4m	5537.8	5844.9	5723.2	5465.5	4962.7	4218.6	3423.5	3151.5	3086.9	2730.5	2865.6	2688.5	2738.0	2725.3	2774.5	2262.5	4548.8	5118.8	5078.8	5033.0	5367.4	5617.5	5491.3	5640.0	5577.4	5682.3	5896.2	5803.5	5833.9	5828.1	5779.4	1962.9	5896.1	5800.0	5892.2	5921.1	5876.4	5865.4	5909.2	5859.5	5889.5	5871.6	5907.0	5894.3	5905.7	5836.3	5909.3	2856.0	5932.8	5900.3	5845.9	5883.5	5857.0	5935.7	4096.8	4046.1	5911.4	5915.6	4050.3	5891.8	3958.5	4102.6	5758.6	1762.8	
2m	5984.9	5973.9	5937.5	5882.9	5857.1	5804.4	5740.9	5628.1	5329.6	5495.2	5353.8	5338.7	5363.5	5376.2	5296.0	4176.7	5182.0	5170.6	5825.5	5098.2	5786.9	5820.8	5855.2	4853.8	4798.9	5771.5	5809.5	5785.7	5803.8	5797.1	5813.6	3085.2	4765.5	4703.5	5858.9	4788.0	5924.5	4610.6	4725.8	4743.8	4736.3	5963.8	4835.9	5953.5	4756.2	4718.8	5963.7	3705.6	4774.7	5897.6	4743.8	4873.7	4875.2	4948.1	4869.0	4986.1	5085.2	5076.1	5059.4	5045.9	5047.2	5199.5	5966.1	3301.3	
1024k	5987.2	5987.7	5986.2	5987.6	5984.5	5984.3	5983.4	5984.8	5977.6	5978.5	5979.0	5968.6	5938.3	5874.8	5784.0	4723.2	5604.5	5562.0	5445.0	5367.8	5323.1	5256.2	5194.2	5130.4	5139.9	5097.7	5103.3	5173.1	5191.7	5111.5	5266.2	3785.2	5973.6	5237.1	5369.4	5556.9	5570.0	5731.3	5605.7	5616.6	5757.3	5848.0	5846.8	5888.1	5893.6	5904.4	5905.0	3949.8	5889.8	5951.8	5902.2	5924.8	5936.1	5950.7	5973.0	5952.8	5940.8	5928.6	5948.5	5938.6	5943.0	5942.7	5957.5	3783.8	
512k	5987.3	5987.1	5983.6	5982.8	5984.8	5975.1	5976.5	5979.3	5975.1	5973.9	5951.1	5960.7	5946.6	5919.0	5934.6	4779.8	5893.7	5906.2	5899.1	5864.1	5888.8	5882.3	5865.5	5893.1	5904.8	5929.0	5904.3	5873.5	5897.6	5932.2	5904.5	3988.1	5915.5	5927.2	5919.9	5939.8	5896.6	5952.1	5938.9	5894.8	5939.1	5941.6	5941.3	5936.0	5902.9	5956.0	5921.3	5897.9	5915.6	5939.4	5933.6	5920.6	5923.3	5936.1	5932.5	5939.2	5892.0	5933.3	5885.4	5912.9	5931.2	5914.4	5906.7	4017.1	
256k	5779.0	5987.4	5973.2	5984.5	5980.9	5975.1	5980.4	5969.7	5961.4	5966.8	5958.9	5947.0	5951.4	5969.5	5961.3	5923.9	5963.9	5957.3	5964.4	5952.7	5952.9	5940.8	5953.5	5936.4	5952.9	5926.2	5947.8	5951.3	5933.3	5951.6	5937.7	5807.8	5945.3	5938.2	5902.7	5925.8	5939.7	5910.8	5896.7	5915.6	5916.6	5902.9	5913.6	5930.8	5902.9	5889.0	5905.7	5923.5	5915.1	5874.8	5909.0	5909.5	5897.8	5906.6	5885.5	5879.4	5907.2	5907.7	5894.8	5865.2	5882.4	5891.3	5890.0	5817.7	
128k	5990.0	5988.9	5989.5	5986.3	5975.5	5974.4	5974.1	5974.1	5957.3	5970.0	5955.0	5949.4	5954.2	5936.2	5951.6	5935.9	5930.9	5933.6	5927.1	5915.6	5916.3	5935.5	5923.3	5897.9	5885.4	5909.5	5918.1	5897.2	5883.1	5884.2	5891.3	5837.7	5895.0	5890.9	5872.3	5879.0	5896.2	5882.5	5875.2	5876.5	5859.3	5848.8	5863.4	5873.6	5863.8	5869.5	5850.0	5826.3	5836.4	5843.3	5844.4	5826.3	5847.5	5849.6	5845.1	5831.2	5822.0	5815.1	5825.4	5813.8	5829.9	5826.3	5796.5	5797.9	
64k	5991.1	5986.3	5970.5	5972.3	5957.0	5946.8	5954.3	5942.8	5925.8	5937.1	5930.8	5908.1	5892.9	5897.2	5903.3	5911.9	5890.9	5863.8	5874.5	5876.5	5875.2	5882.9	5869.5	5846.2	5843.3	5815.5	5827.1	5854.6	5839.2	5838.7	5813.4	5797.9	5803.8	5811.2	5770.8	5781.8	5773.0	5770.5	5762.2	5776.9	5799.6	5762.2	5765.7	5755.4	5734.4	5716.5	5725.0	5738.0	5716.5	5718.6	5709.3	5720.3	5715.3	5714.8	5719.0	5706.0	5692.5	5660.8	5679.6	5657.0	5657.7	5639.5	5620.9	5631.9	
32k	5985.4	5972.3	5952.0	5949.7	5911.4	5908.1	5903.2	5905.1	5886.6	5876.5	5845.9	5846.2	5826.3	5842.9	5838.7	5824.4	5825.2	5781.8	5786.0	5760.6	5728.3	5720.0	5735.0	5757.4	5718.6	5720.3	5736.4	5706.0	5683.6	5680.6	5663.7	5682.0	5629.5	5592.0	5564.7	5624.4	5580.3	5605.2	5548.8	5587.5	5572.8	5564.7	5499.1	10320.8	10447.1	10974.3	11015.1	5458.1	5486.8	5488.3	12144.3	5500.3	5433.5	5482.5	5422.2	5410.1	14051.6	13285.7	13858.2	13366.1	13682.4	13733.3	14426.9	14527.8	
16k	5970.6	5956.7	5918.4	5891.5	5868.1	5846.2	5842.9	5851.0	5811.4	5776.9	5737.6	5738.0	5699.6	5661.7	5657.0	5682.0	5618.2	5624.4	5576.1	5557.1	5564.7	10207.4	10840.5	5458.1	5488.3	5462.1	5443.0	5410.1	5416.5	5367.5	5359.3	14527.8	13761.1	13965.6	14251.0	14201.5	14149.5	14160.4	14565.6	13800.8	14651.3	15215.9	14864.8	14981.8	14201.5	14815.3	14015.2	14191.1	8510.1	8165.1	8349.2	9831.8	8037.1	15131.6	8623.2	4926.4	14332.6	8382.7	13833.2	10328.4	13383.7	14330.4	12022.4	7795.4	
8k	5946.3	5891.5	5856.3	5824.4	5776.9	5738.0	5706.0	5682.0	5624.4	5587.5	10676.7	5493.3	5500.3	5410.1	13911.7	14205.0	13648.2	14201.5	14543.1	14184.2	14320.8	14073.8	14815.3	5129.3	15120.5	8026.0	14549.6	8478.1	13541.2	13109.1	12676.9	8195.2	14073.8	7134.2	13279.3	13495.5	13138.8	12782.1	13109.1	13404.8	12422.4	7607.9	4475.7	12222.0	12623.6	12346.1	12068.7	11791.2	12264.5	11970.8	11097.6	11530.1	11309.8	11782.6	10265.3	12151.9	11158.3	11735.7	11486.0	9987.9	10456.0	11771.4	6492.1	12292.8	
4k	5898.3	5824.4	5738.0	5682.0	5557.1	5458.1	5370.3	5371.6	13855.1	5157.9	14513.6	5129.3	14045.4	4926.4	13633.4	14527.8	13619.8	4723.4	14127.6	4548.0	12172.7	12222.0	4273.7	11791.2	11970.8	12250.7	11782.6	10722.3	11002.3	10612.1	10986.7	11414.7	11058.0	9987.9	3844.0	10077.0	10564.1	10276.0	10924.2	10612.1	9507.7	9315.6	9123.5	10555.4	6311.8	6173.1	9874.4	8163.2	6095.5	5948.7	5875.2	9738.2	6008.3	6688.3	5774.2	5696.2	8864.2	6242.4	6626.6	5659.8	5576.6	5493.3	5410.1	6146.4	
2k	5824.4	5682.0	5493.3	13600.5	14184.2	14680.4	4993.9	13896.2	14170.3	13404.8	13659.9	11791.2	4355.8	11392.4	11319.6	10653.7	11524.5	3712.6	11132.3	11576.8	9315.6	11610.9	10101.4	9647.4	8427.3	9738.2	9363.6	6509.9	8739.4	7717.9	8240.0	7990.3	6450.5	4993.9	4525.8	4993.9	6242.4	5514.1	4993.9	5306.1	5098.0	4280.5	5867.9	4417.7	4321.7	3051.8	3157.9	4766.9	4653.4	2774.4	3841.5	4869.1	4312.9	4619.4	4199.4	3745.5	2299.8	2427.6	3537.4	2358.2	3433.3	3433.3	3329.3	3632.0	
